"Respondent Number","Date","Time","Channel","What is your job title?","How many years of experience do you have?","What is your current work situation?","If you are employed by a company, are you:","How would you classify your company?","Are you:","Who do you work with on a regular basis?","Are you co-located with developers?","Please share any other details about your employment that you think might be relevant to this survey.","In which of the following skills do you consider yourself to be competent?","What technologies can you use competently?","In which of these activities do you regularly participate?","Are there any other skills or experience that you think may be relevant to this survey?","Do you use issue tracking software (e.g. JIRA, Bugzilla)? If so, what for?","Do you use version control software (e.g. Subversion, GitHub)? If so, what for?","To what degree are you consulted by developers?","Are there management-sanctioned processes in place that require design involvement in all UI work? If so, please explain.","Do you work directly in the production code base?","Do you participate in code reviews?","Do developers participate in design activities? If so, please explain.","What kind of relationship do you have with the developers you work with?","Please provide any other information you feel is relevant to this survey."
66,"2011/14/12","19:47:28","Working with Developers Survey","UX Designer","8","Large Company (more than 100 employees)","Other, please specify (both)","Other, please specify (an accountant firm)","The only designer","Other, please specify (business analysts)","No.","Good luck with your survey!","Information architecture, Interaction design, User interface design, Other, please specify (strategy)","HTML, CSS","User research, Wireframe creation, Design documentation","","Nobody at my company uses it.","Nobody at my company uses it.","Other, please specify (Don't get to work with devs)","","No","No","","I respect their skills and value their input., They consider me to be the one that \"makes things pretty\".",""
67,"2011/14/12","21:04:01","Working with Developers Survey","User Experience Designer","9","Large Company (more than 100 employees)","Doing work on your own company's products/services","Other, please specify (UX group within large pharmaceutical)","Part of a small design team","Visual Designers, Interaction Designers, Front End Developers, Back End Developers, Software Prototypers, Software Architects","Yes, in the same room.","","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping, UI implementation","HTML, CSS, JavaScript, jQuery, Java, Perl, PHP, XML, XSLT","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Functional testing, Usability testing, Bug reporting","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","I use it for version control of my prototype code., I use it for version control of my production code.","Developers regularly come to me with questions during implementation.","","No","No","on some teams, senior software engineers collaborate in design and provide feasibility assessments.","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
68,"2011/15/12","11:51:20","Working with Developers Survey","Information Architect","10","Small Company (100 employees or less)","Working on an external client's products/services","UX/Design firm","Part of a small design team","Information Architects, Interaction Designers","No.","I'm a consultant in a small UX consulting firm. We work as pairs on projects, with one IA as lead and another as a backup IA/account manager. We don't do visual design or coding, and generally hand off our deliverables to clients prior to the dev phase starting.","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping","HTML","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Usability testing","","Nobody at my company uses it.","Nobody at my company uses it.","Rarely. I pass my designs over the wall.","No, but we sometimes do design reviews--we check production code for usability issues that have come up since we passed over our designs (ie. problems with the implementation). These are optional reviews, though, and not every client opts for them.","No","No","No.","Other, please specify (I've had no contact with developers in my current position.)","I'm tempted to fill in this survey based on my LAST job, in which I was the only IA in an Agile shop with two dozen developers. But I assume you need current data. Good luck! I look forward to the results."
69,"2011/15/12","14:03:14","Working with Developers Survey","UX Strategist","5","Large Company (more than 100 employees)","Doing work on your own company's products/services","Software development firm","Part of a small design team","Front End Developers, Back End Developers, Other, please specify (QA, Product Owner, Product Managers, Publications)","Other, please specify (Both in the same building and some in remote locations)","","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping, UI implementation","HTML, CSS, JavaScript, YUI, Java, Perl, PHP, C++","User research, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Usability testing, Bug reporting, Bug fixing","","I am assigned tasks by other members of my team through it., I create tasks for other team members in it.","The developers use it, but I do not.","Other, please specify (Depends on the project. For some projects I am an integrated scrum member. Others I am just a consultant.)","","No","No","Yes, observe some usability testing.","They respect my skills and value my contributions., I respect their skills and value their input., They consider me to be the one that \"makes things pretty\"., Other, please specify (really depends on the developer, some are more knowledgeable about what i do than others.)",""
70,"2011/16/12","14:44:23","Working with Developers Survey","Web Developer","10","Freelance / Contract","","Other, please specify (Both Design/dev firm)","The only designer","Information Architects, Interaction Designers, Front End Developers, Back End Developers, Software Prototypers","No.","","Information architecture, User interface design, UI prototyping","HTML, CSS, Ruby, PHP","Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Implementation (e.g. writing production HTML and CSS)), Bug reporting, Bug fixing","","Nobody at my company uses it.","I use it for version control of my production code.","I work integrally with the developers throughout all project phases.","","Yes","Yes","","I consider some of them to be good friends.",""
71,"2011/18/12","20:20:38","Working with Developers Survey","Software Interface Designer","15","Small Company (100 employees or less)","Doing work on your own company's products/services","Other, please specify (Education)","The only designer","Information Architects, Front End Developers","Yes, in the same room.","","Interaction design, User interface design, Usability evaluation, UI specification","HTML, CSS, JavaScript, XML","Requirements analysis, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Design documentation, Implementation (e.g. writing production HTML and CSS)), Usability testing, Bug reporting, Bug fixing, Writing of user guides or training materials","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","I use it for version control of my design deliverables., I use it for version control of my production code.","Developers regularly come to me with questions during implementation.","As the only UX person on the development team, my design time is dedicated to projects for which I am the project manager. I consult for other projects when time allows and provide documentation for those projects as well as my own.","Yes","No","The design teams include Java and Web developers who provide original ideas and suggestions for improvements. The developers provide a checkpoint for what is possible code-wise.","I consider some of them to be good friends., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.","The management team at my company refuses to budget for more UX people, which is unfortunate. My time is limited, which means I can only contribute in a superficial way to other teams, since I can not conduct an in-depth study into their issues. Whenever there is more money in the budget to hire, the company hires more developers. I have found at this company and at previous companies that the developers value my work more than the management team does."
72,"2011/19/12","13:43:04","Working with Developers Survey","Principal | Co-Founder","5","Other, please specify (owner of a small consultancy)","Working on an external client's products/services","UX/Design firm","Part of a small design team","Visual Designers, Information Architects, Interaction Designers, Usability Researchers, Front End Developers, Back End Developers","No.","","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI specification","HTML, CSS","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Design documentation, Usability testing","I have worked as both a designer within a product company and as a design consultant. My experience working in-house at a software company taught me that even though I didn't need to literally know how to code in Java, I needed to have a solid enough understanding of development concepts in order to have useful conversations related to technical implementation/design tradeoffs with the development team.","Nobody at my company uses it.","Nobody at my company uses it.","Developers regularly come to me with questions during implementation.","","No","No","Developers at our client sites are represented at all design reviews to provide feedback and bring up tradeoffs between the specified design and technical implmentation.","I consider some of them to be good friends., We do things together socially outside of work., Other, please specify (Sometimes I feel as though they truly appreciate a human-centered approach to software/web development and other times I feel as though they think that the design process is a lot of unnecessary fluf.)",""
73,"2011/19/12","23:17:43","Working with Developers Survey","UX Manager","11","Large Company (more than 100 employees)","Other, please specify (both internal & external)","Software development firm","Part of a small design team","Interaction Designers, Software Architects, Other, please specify (Business Analysts; Project Managers; Sales)","Yes, in the same building.","","Visual design, Information architecture, Interaction design, Usability evaluation","","User research, Requirements analysis, Wireframe creation, Physical prototyping (e.g. paper), Design documentation, Usability testing","Brainstorming; facilitating & gathering requirements; playing nice with Agile","The developers use it, but I do not.","The developers use it, but I do not.","We work together during the design phase, but I don't have much input during implementation.","No - UX is very new to this organization.","No","No","","They consider me to be the one that \"makes things pretty\"., Other, please specify (Management hasn't come to grips with how to integrate UX into their dev process, but Devs seem to see some value regardless. )","Above answers have varied to a large degree in my career.  This organization seems to be the least UX-savvy in my 10+ years of work, however."
74,"2011/21/12","02:17:56","Working with Developers Survey","Web experience architect","13","Large Company (more than 100 employees)","Working on an external client's products/services","Other, please specify (Healthcare)","Part of a small design team","Visual Designers, Front End Developers, Back End Developers, Software Architects","No.","My group and company is geographically dispersed","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping, UI implementation","HTML","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Usability testing","","I report bugs in it., I receive bug reports to be fixed through it.","The developers use it, but I do not.","Developers regularly come to me with questions during implementation.","","No","Yes","Attend reviews ","I respect their skills and value their input., It is a purely business relationship.",""
75,"2011/21/12","15:33:32","Working with Developers Survey","User Interface Engineer","3","Large Company (more than 100 employees)","Doing work on your own company's products/services","Other, please specify (Hardware)","Part of a small design team","Visual Designers, Front End Developers, Back End Developers, Software Prototypers, Software Architects, Other, please specify (Product Managers, QA)","Yes, in the same room.","","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping","HTML, CSS, Prototype","Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Usability testing","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I use it to record effort estimates and/or time tracking., I report bugs in it., I attach design deliverables to tasks/issues in it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","","No","No","","They respect my skills and value my contributions., I respect their skills and value their input., It is a purely business relationship.",""
76,"2011/21/12","16:12:34","Working with Developers Survey","Creative Director, Graphic Designer, Production Specialist","25","Small Company (100 employees or less)","","Other, please specify (Design firm--all types)","Part of a small design team","Visual Designers","No.","I hire developers","Visual design, Information architecture, Interaction design, User interface design","HTML, CSS, Spry, JavaScript, jQuery, Processing","User research, Requirements analysis, Digital prototyping (e.g. HTML, Flash), Design documentation, Implementation (e.g. writing production HTML and CSS)), Bug fixing","Client and account experience","Nobody at my company uses it.","Nobody at my company uses it.","Other, please specify (none of these really apply)","","Yes","Yes","No","They respect my skills and value my contributions., I respect their skills and value their input.","All designers understand that the way the work process is efficient and most facilitating and yeilds the best project is when design tells engineering what to do. See Apple as a perfect example."
77,"2011/21/12","19:06:10","Working with Developers Survey","Principal User Experience Designer","17","Large Company (more than 100 employees)","Doing work on your own company's products/services","Software development firm","Part of a large design group","Visual Designers, Information Architects, Interaction Designers, Usability Researchers, Front End Developers, Back End Developers, Software Prototypers, Software Architects","Other, please specify (Some are in the same building, others are in another location.)","","Interaction design, User interface design, Usability evaluation, UI specification","","User research, Requirements analysis, Wireframe creation, UI sketching, Digital prototyping (e.g. HTML, Flash), Design documentation, Bug reporting","","I am assigned tasks by other members of my team through it., I report bugs in it., I attach design deliverables to tasks/issues in it., Other, please specify (I use it to track users stories as part of a prioritized backlog)","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","Not sure if there are actually processes, but designers do seem to be involved in all projects that have customer facing UI, at least in my division. ","No","No","The lead UI developer & dev manager participates in regular reviews of the design of upcoming new features.","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
78,"2011/21/12","19:44:20","Working with Developers Survey","creative director","18","Freelance / Contract","","","Part of a small design team","Visual Designers, Front End Developers, Back End Developers","Yes, in the same room.","Have worked side by side with developers for the past 12 years.","Visual design, Information architecture, Interaction design, User interface design, UI specification, UI prototyping","HTML, CSS, ActionScript","Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Functional testing, Usability testing, Bug reporting, Writing of user guides or training materials","","Nobody at my company uses it.","Nobody at my company uses it.","I work integrally with the developers throughout all project phases.","","Other, please specify (don't understand question)","Yes","Yes to discuss how best to generate assets and how things can/will move.","We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
79,"2011/21/12","22:06:39","Working with Developers Survey","Sr. Director, User Experience","15","Small Company (100 employees or less)","Doing work on your own company's products/services","Software development firm","Part of a small design team","Interaction Designers, Front End Developers, Back End Developers","Yes, in the same room.","","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping","HTML, CSS, jQuery, Ruby, PHP","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Implementation (e.g. writing production HTML and CSS)), Functional testing, Usability testing, Bug reporting, Bug fixing","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","I use it for version control of my design deliverables., I use it for version control of my prototype code., I use it for version control of my production code.","I work integrally with the developers throughout all project phases.","There is no explicit mandate -- this is implicitly understood.","Yes","No","Yes. For simple and/or less critical areas, sometimes the devs go to town making UI decisions, then review with me and I suggest improvements. In other cases, if I'm unsure of the difficulty to implement something, I'll work closely with the devs to make sure what I want (or some close approximation of what I want) can be built in a reasonable time frame.","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.","I'm working in a small startup environment, so everything is fast and furious and I do a little bit of everything. My main background is as an interaction designer, but I'm doing everything from research to visual design to production code to usability testing."
80,"2011/21/12","23:09:51","Working with Developers Survey","","","","","","","","","","","","","","","","","","","","","",""
81,"2011/22/12","02:49:18","Working with Developers Survey","user experience designer","15","Large Company (more than 100 employees)","Doing work on your own company's products/services","Other, please specify (network hardware maker)","The only designer","Front End Developers, Back End Developers","Yes, in the same room.","","Visual design, Information architecture, Interaction design, User interface design, UI specification","HTML","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Design documentation, Functional testing","","The developers use it, but I do not.","The developers use it, but I do not.","Developers regularly come to me with questions during implementation.","","No","Yes","I'm attached to a front-end implementation team, so many \"easy\" UI decisions are made by developers, who are chosen in part for their design chops.","I consider some of them to be good friends., We do things together socially outside of work., They respect my skills and value my contributions., I respect their skills and value their input., i intimidate them.",""
82,"2011/22/12","16:41:22","Working with Developers Survey","","","","","","","","","","","","","","","","","","","","","",""
83,"2011/22/12","21:16:37","Working with Developers Survey","Product Designer","20+","Freelance / Contract","","UX/Design firm","Other, please specify (I do freelance work, and work as part of a designer referral network)","Visual Designers, Information Architects, Interaction Designers, Usability Researchers, Front End Developers, Back End Developers, Software Prototypers, Software Architects, Other, please specify (Product Owners, Product Managers, C suite)","Other, please specify (Depends on the project (prob true for all frelancers!))","In my research on the subject, I've observed very different patterns of dev/ux integration in in-house, agency and freelance projects. I hope you're taking work context into account when you analyze the results of this survey.","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping, Other, please specify (coaching, facilitation for design and agile/ux integration)","Other, please specify (working on HTML/CSS, not \"competent\" yet ;))","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Design documentation, Functional testing, Usability testing, Bug reporting, Writing of user guides or training materials, Other, please specify (coaching and facilitation)","As mentioned above, coaching and facilitation of collaborative design work for most activities mentioned in #12.","Other, please specify (depends on the project (I'm freelance))","Other, please specify (depends on the project (I'm freelance))","Other, please specify (Varies from working together in design phase through continuous engagement, depending on project. I decline gigs that require \"over the wall\" design.)","In my consulting practice, I'm working with several clients to specify these processes. ","No","No","Depends on the project. I prefer it.","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.","Would appreciate it if you could share your findings from this survey - lane halley lbh.inc@gmail.com"
84,"2011/29/12","20:53:10","Working with Developers Survey","","","","","","","","","","","","","","","","","","","","","",""
85,"2011/30/12","00:33:11","Working with Developers Survey","Interaction Designer","2","Small Company (100 employees or less)","Working on an external client's products/services","Software development firm","Part of a small design team","Back End Developers, Other, please specify (Human Systems Integration team)","Yes, in the same building.","-I previously worked on-site for my companies client as an Interaction Designer
-The water was very muddy between the user's needs and clients' wants, my role was to try and walk the line between making what was right and satisfying a diverse set of stakeholders","Visual design, Information architecture, Usability evaluation","HTML, CSS, jQuery","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Implementation (e.g. writing production HTML and CSS)), Bug reporting, Bug fixing, Writing of user guides or training materials","-Though I didn't know a lot of backend code, it was very important for me to be able to know the difference between what was front end and what was backend. I had to quickly learn about the framework the software was built in and what it's basic capabilities were and how to build on them (Eclipse RCP). 
-It's important that interaction designer's feel comfortable and confident in speaking with developers about the backend code to build trust with each other.","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","I use it for version control of my production code.","Other, please specify (Ideally, the developers and I are to work closely together during the design phase... but it typically works out that they gloss over the document or attend a few meetings and get a basic understanding of what we are planning on doing, but never pay attention to the full details. Then they tend to come to me with questions or \"are  you crazy? I can't do that!\" when it's time for them to put together a timeline for their development assessment. After a few times of close calls, they are beginning to pay more attention to the pencil sketches and overall workflows we put together for them.)","","No","Other, please specify (I have - but rarely, typically once I hand over the front end HTML & CSS  - the developers tie the backend in to the code. They generally tweak and change it so they leave me out of the code reviews.)","They attend meetings when the designs are being discussed. Also, the design team goes to them while working out workflows/sketches/storyboards and ideas to present to the stakeholders - but generally they are so busy that they can't go into the code and answer the question thoroughly. ","I consider some of them to be good friends., I respect their skills and value their input., It is a purely business relationship., They consider me to be the one that \"makes things pretty\"., They have no respect for, or understanding of, what I do., Other, please specify (I find there to be a difference between some of the older developers and younger developers. The older ones are a little confused by my role as an interaction designer. The younger ones really seem to value my input and user center design processes. They are excited about the changes and like to contribute new ideas. The older developers who seem to have a different school of thought start shaking their head as soon as I stop by their desk with a fresh stack of sketches. )","2 final thoughts:

1) Our project manager gave us this, he felt that it was true:
http://www.globalnerdy.com/2011/08/03/the-war-between-developers-designers-and-project-managers/

Of course, this graph illustrates my biggest pet peeve on the job... one of the developers would always say, \"I'll wait for you to get done making it look pretty.\" 

We do a lot more than that.

2) Because we work onsite for our client - it's not a traditional software development team. We have a lot of stakeholders with heavy sway on the team that do not know a lot about software development. So a lot of my job is spent educating them on what I should be doing, how I should be doing it, then doing it, then documenting that process, presenting it, etc. I would say 70% of my job on this project has been education.



"
86,"2012/02/01","23:34:59","Working with Developers Survey","Director of Design","12","Large Company (more than 100 employees)","Doing work on your own company's products/services","Software development firm","Part of a large design group","Visual Designers, Interaction Designers, Front End Developers, Software Architects","No.","We are spread out geographically, chiefly in three diff countries.","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping, UI implementation","HTML, CSS, JavaScript, C#, Visual Basic, .NET, XML, XSLT","Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Design documentation, Usability testing, Bug reporting","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I use it to record effort estimates and/or time tracking., I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","I use it for version control of my prototype code.","Developers regularly come to me with questions during implementation.","Yes, we follow a staggered design-dev iterative process and release product twice a year.","Yes","No","It varies depending on team. At a minimum, we get them involved after first or second design iteration for technical/dev feedback. Other teams, we give guidelines and patterns and let them do more of the design work.","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input., It is a purely business relationship.","The relationship varies from team to team and dev to dev. Some are more \"advanced\" in their understanding of design and respect for it. Others are nearly hostile/feel we're encroaching on their turf and/or taking away their opportunity to be creative."
87,"2012/03/01","16:56:53","Working with Developers Survey","Principal User Experience Architect","15","Small Company (100 employees or less)","Working on an external client's products/services","UX/Design firm","Part of a small design team","Visual Designers, Information Architects, Interaction Designers, Service Designers, Front End Developers, Back End Developers, Software Architects","Yes, in the same building.","","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification","","User research, Requirements analysis, Wireframe creation, UI sketching, Design documentation, Functional testing, Usability testing, Bug reporting, Writing of user guides or training materials","","I am assigned tasks by other members of my team through it., I create tasks for other team members in it., I report bugs in it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","","No","No","They're involved in early concept stages and in later design reviews so that they are familiar with the design, can give feedback, and can do their own development planning.","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
88,"2012/06/01","00:48:57","Working with Developers Survey","Senior Designer - Visual + Interantion","14","Large Company (more than 100 employees)","Doing work on your own company's products/services","Other, please specify (Defense Contractor)","Part of a small design team","Visual Designers, Information Architects, Interaction Designers, Front End Developers, Back End Developers, Software Architects","Yes, in the same room.","","Visual design, Information architecture, Interaction design, User interface design, UI specification","HTML, CSS, jQuery, PHP, XSLT","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation, Implementation (e.g. writing production HTML and CSS)), Usability testing, Bug reporting, Bug fixing","","I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","","Yes","No","","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input., They consider me to be the one that \"makes things pretty\"., They have no respect for, or understanding of, what I do.",""
89,"2012/07/01","06:38:28","Working with Developers Survey","Director of User Experience","6","Large Company (more than 100 employees)","Doing work on your own company's products/services","Software development firm","Part of a small design team","Visual Designers, Interaction Designers, Usability Researchers, Back End Developers","Yes, in the same room.","","Visual design, Information architecture, Interaction design, User interface design, Usability evaluation, UI prototyping, UI implementation","HTML, CSS, JavaScript, jQuery, YUI, Ruby","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Implementation (e.g. writing production HTML and CSS)), Usability testing, Bug reporting, Bug fixing","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I use it to record effort estimates and/or time tracking., I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","I use it for version control of my prototype code., I use it for version control of my production code.","I work integrally with the developers throughout all project phases.","","Yes","Yes","","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input., i intimidate them., They intimidate me.",""
90,"2012/10/01","13:12:59","Working with Developers Survey","Interaction Designer","5","Large Company (more than 100 employees)","Doing work on your own company's products/services","Software development firm","Part of a small design team","Information Architects, Software Architects","Yes, in the same room.","","Interaction design, Usability evaluation, UI specification, UI prototyping","","Requirements analysis, Wireframe creation, UI sketching, Design documentation, Functional testing, Usability testing, Bug reporting","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I report bugs in it., I attach design deliverables to tasks/issues in it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","","No","No","","I consider some of them to be good friends., They respect my skills and value my contributions., I respect their skills and value their input.",""
